sentence,intent,tokens,BIO_tags
i want b7 for the show,select_seat,"[""i"", ""want"", ""b7"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
yo book 4 regular tix for spider man no way home at cinepolis central,book_ticket,"[""yo"", ""book"", ""4"", ""regular"", ""tix"", ""for"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""at"", ""cinepolis"", ""central""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
show my bookig detais at luxe imax,check_booking_status,"[""show"", ""my"", ""bookig"", ""detais"", ""at"", ""luxe"", ""imax""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
please book me 2 for tiger 3 at 11 pm,book_ticket,"[""please"", ""book"", ""me"", ""2"", ""for"", ""tiger"", ""3"", ""at"", ""11"", ""pm""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-TIME"", ""I-TIME""]"
can u buk dune part two for 2 people,book_ticket,"[""can"", ""u"", ""buk"", ""dune"", ""part"", ""two"", ""for"", ""2"", ""people""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
hey hey choose recliner seat e15 now,select_seat,"[""hey"", ""hey"", ""choose"", ""recliner"", ""seat"", ""e15"", ""now""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
that's all thanks,goodbye,"[""that's"", ""all"", ""thanks""]","[""O"", ""O"", ""O""]"
um pease buk me 3 for leo at 11 : 30 am,book_ticket,"[""um"", ""pease"", ""buk"", ""me"", ""3"", ""for"", ""leo"", ""at"", ""11"", "":"", ""30"", ""am""]","[""O"", ""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-TIME"", ""I-TIME"", ""I-TIME"", ""I-TIME""]"
show me interstellar sessions in delhi,search_movie,"[""show"", ""me"", ""interstellar"", ""sessions"", ""in"", ""delhi""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
pls tell me the timings for tiger 3 at carnival city mall,check_showtime,"[""pls"", ""tell"", ""me"", ""the"", ""timings"", ""for"", ""tiger"", ""3"", ""at"", ""carnival"", ""city"", ""mall""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
yo give me reglar around c3,select_seat,"[""yo"", ""give"", ""me"", ""reglar"", ""around"", ""c3""]","[""O"", ""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
yo is the batman playing near delhi,search_movie,"[""yo"", ""is"", ""the"", ""batman"", ""playing"", ""near"", ""delhi""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
i want to cancel tickets for spider man no way home today,cancel_ticket,"[""i"", ""want"", ""to"", ""cancel"", ""tickets"", ""for"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
hey reserve 4 regular seats in chennai,book_ticket,"[""hey"", ""reserve"", ""4"", ""regular"", ""seats"", ""in"", ""chennai""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
hello,greeting,"[""hello""]","[""O""]"
any french movies in mumqai,search_movie,"[""any"", ""french"", ""movies"", ""in"", ""mumqai""]","[""O"", ""B-LANGUAGE"", ""O"", ""O"", ""B-CITY""]"
check my booking status for top gun maverick,check_booking_status,"[""check"", ""my"", ""booking"", ""status"", ""for"", ""top"", ""gun"", ""maverick""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME""]"
hey there,greeting,"[""hey"", ""there""]","[""O"", ""O""]"
check my booking status for jawan,check_booking_status,"[""check"", ""my"", ""booking"", ""status"", ""for"", ""jawan""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME""]"
pls drop my reservation at inox city center,cancel_ticket,"[""pls"", ""drop"", ""my"", ""reservation"", ""at"", ""inox"", ""city"", ""center""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
hey there,greeting,"[""hey"", ""there""]","[""O"", ""O""]"
pls what time does the batman start in chenai,check_showtime,"[""pls"", ""what"", ""time"", ""does"", ""the"", ""batman"", ""start"", ""in"", ""chenai""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
drop my reservation at luxe imax,cancel_ticket,"[""drop"", ""my"", ""reservation"", ""at"", ""luxe"", ""imax""]","[""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
what movies like leo are running in kolkata,search_movie,"[""what"", ""movies"", ""like"", ""leo"", ""are"", ""running"", ""in"", ""kolkata""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
um look up my movie booking in chenai,check_booking_status,"[""um"", ""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""chenai""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
resrv 6 recliner seats in kochi please,book_ticket,"[""resrv"", ""6"", ""recliner"", ""seats"", ""in"", ""kochi"", ""please""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
hey there,greeting,"[""hey"", ""there""]","[""O"", ""O""]"
thx bye,goodbye,"[""thx"", ""bye""]","[""O"", ""O""]"
pls can u buk tger 3 for 2 people,book_ticket,"[""pls"", ""can"", ""u"", ""buk"", ""tger"", ""3"", ""for"", ""2"", ""people""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
um where is my ticket for next friday,check_booking_status,"[""um"", ""where"", ""is"", ""my"", ""ticket"", ""for"", ""next"", ""friday""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
can u book interstellar for 2 people,book_ticket,"[""can"", ""u"", ""book"", ""interstellar"", ""for"", ""2"", ""people""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
um when is kalki 2898 ad showing at raj mandir,check_showtime,"[""um"", ""when"", ""is"", ""kalki"", ""2898"", ""ad"", ""showing"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
show me showtimes for leo on next friday,check_showtime,"[""show"", ""me"", ""showtimes"", ""for"", ""leo"", ""on"", ""next"", ""friday""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
pls find oppenheimer in chennai,search_movie,"[""pls"", ""find"", ""oppenheimer"", ""in"", ""chennai""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-CITY""]"
what movies like barbie are running in ahmedabad,search_movie,"[""what"", ""movies"", ""like"", ""barbie"", ""are"", ""running"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
see you later,goodbye,"[""see"", ""you"", ""later""]","[""O"", ""O"", ""O""]"
yo any french movies in bengaluru,search_movie,"[""yo"", ""any"", ""french"", ""movies"", ""in"", ""bengaluru""]","[""O"", ""O"", ""B-LANGUAGE"", ""O"", ""O"", ""B-CITY""]"
um please book me 6 for tiger 3 at 6 : 45 pm,book_ticket,"[""um"", ""please"", ""book"", ""me"", ""6"", ""for"", ""tiger"", ""3"", ""at"", ""6"", "":"", ""45"", ""pm""]","[""O"", ""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-TIME"", ""I-TIME"", ""I-TIME"", ""I-TIME""]"
drop my reservation at inox city center,cancel_ticket,"[""drop"", ""my"", ""reservation"", ""at"", ""inox"", ""city"", ""center""]","[""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
drop my rservation at pvr nxus mall,cancel_ticket,"[""drop"", ""my"", ""rservation"", ""at"", ""pvr"", ""nxus"", ""mall""]","[""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
pls pick balcony seats near a11 please,select_seat,"[""pls"", ""pick"", ""balcony"", ""seats"", ""near"", ""a11"", ""please""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
any tamhl movies in kochi,search_movie,"[""any"", ""tamhl"", ""movies"", ""in"", ""kochi""]","[""O"", ""B-LANGUAGE"", ""O"", ""O"", ""B-CITY""]"
see you later thx,goodbye,"[""see"", ""you"", ""later"", ""thx""]","[""O"", ""O"", ""O""]"
quick what time does top gun maverick start in pune,check_showtime,"[""quick"", ""what"", ""time"", ""does"", ""top"", ""gun"", ""maverick"", ""start"", ""in"", ""pune""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
show me interstellar sessions in kolkta,search_movie,"[""show"", ""me"", ""interstellar"", ""sessions"", ""in"", ""kolkta""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
um show me showtimes for tiger 3 on today,check_showtime,"[""um"", ""show"", ""me"", ""showtimes"", ""for"", ""tiger"", ""3"", ""on"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-DATE""]"
bye and thnks please,goodbye,"[""bye"", ""and"", ""thnks"", ""please""]","[""O"", ""O"", ""O""]"
pls give me balcony around c3,select_seat,"[""pls"", ""give"", ""me"", ""balcony"", ""around"", ""c3""]","[""O"", ""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
um give me regular around c3,select_seat,"[""um"", ""give"", ""me"", ""regular"", ""around"", ""c3""]","[""O"", ""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
show me tiger 3 sessions in mumbai,search_movie,"[""show"", ""me"", ""tiger"", ""3"", ""sessions"", ""in"", ""mumbai""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
pls choose premium seat e15,select_seat,"[""pls"", ""choose"", ""premium"", ""seat"", ""e15""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
where is my ticket for tonight,check_booking_status,"[""where"", ""is"", ""my"", ""ticket"", ""for"", ""tonight""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE""]"
i want to cncl tix for tiger 3 today pls,cancel_ticket,"[""i"", ""want"", ""to"", ""cncl"", ""tix"", ""for"", ""tiger"", ""3"", ""today"", ""pls""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
um i want a11 for the show,select_seat,"[""um"", ""i"", ""want"", ""a11"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
yo,greeting,"[""yo""]","[""O""]"
find dune part two in jaipur,search_movie,"[""find"", ""dune"", ""part"", ""two"", ""in"", ""jaipur""]","[""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-CITY""]"
hey there,greeting,"[""hey"", ""there""]","[""O"", ""O""]"
show my booking details at cinepolis central,check_booking_status,"[""show"", ""my"", ""booking"", ""details"", ""at"", ""cinepolis"", ""central""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
pick vip seats near e15,select_seat,"[""pick"", ""vip"", ""seats"", ""near"", ""e15""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
hey check my booking status for jawan,check_booking_status,"[""hey"", ""check"", ""my"", ""booking"", ""status"", ""for"", ""jawan""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME""]"
good morning,greeting,"[""good"", ""morning""]","[""O"", ""O""]"
pls tell me the timings for the btman at pvr nexus mall thx,check_showtime,"[""pls"", ""tell"", ""me"", ""the"", ""timings"", ""for"", ""the"", ""btman"", ""at"", ""pvr"", ""nexus"", ""mall"", ""thx""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
pls i need 4 tickets for leo this tnight,book_ticket,"[""pls"", ""i"", ""need"", ""4"", ""tickets"", ""for"", ""leo"", ""this"", ""tnight""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE""]"
drop my reservation at luxe imax,cancel_ticket,"[""drop"", ""my"", ""reservation"", ""at"", ""luxe"", ""imax""]","[""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
pls i need 6 tickets for interstellar this 26 may,book_ticket,"[""pls"", ""i"", ""need"", ""6"", ""tickets"", ""for"", ""interstellar"", ""this"", ""26"", ""may""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
yo i want to cncl tickets for barpie today,cancel_ticket,"[""yo"", ""i"", ""want"", ""to"", ""cncl"", ""tickets"", ""for"", ""barpie"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
yo bye and thx,goodbye,"[""yo"", ""bye"", ""and"", ""thx""]","[""O"", ""O"", ""O""]"
yo i want to cancel tickets for jawan today,cancel_ticket,"[""yo"", ""i"", ""want"", ""to"", ""cancel"", ""tickets"", ""for"", ""jawan"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
yo where is my ticket for 25 may,check_booking_status,"[""yo"", ""where"", ""is"", ""my"", ""ticket"", ""for"", ""25"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
quick um is there a dolny show of interstellar today?,check_showtime,"[""quick"", ""um"", ""is"", ""there"", ""a"", ""dolny"", ""show"", ""of"", ""interstellar"", ""today"", ""?""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
um show me spider man no way home sessions in jaipur,search_movie,"[""um"", ""show"", ""me"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""sessions"", ""in"", ""jaipur""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
hey cancel the 2 seats in hyderabad,cancel_ticket,"[""hey"", ""cancel"", ""the"", ""2"", ""seats"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-CITY""]"
find leo in hyderabad,search_movie,"[""find"", ""leo"", ""in"", ""hyderabad""]","[""O"", ""B-MOVIE_NAME"", ""O"", ""B-CITY""]"
hey thfre,greeting,"[""hey"", ""thfre""]","[""O"", ""O""]"
find the batman in kolkata please,search_movie,"[""find"", ""the"", ""batman"", ""in"", ""kolkata"", ""please""]","[""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-CITY""]"
cancel my barbie booking at raj mandir,cancel_ticket,"[""cancel"", ""my"", ""barbie"", ""booking"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
um when is the batman showing at carnival city mall,check_showtime,"[""um"", ""when"", ""is"", ""the"", ""batman"", ""showing"", ""at"", ""carnival"", ""city"", ""mall""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
please refund my booking for tonight,cancel_ticket,"[""please"", ""refund"", ""my"", ""booking"", ""for"", ""tonight""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE""]"
um i want to cncl tickets for barbie today pls,cancel_ticket,"[""um"", ""i"", ""want"", ""to"", ""cncl"", ""tickets"", ""for"", ""barbie"", ""today"", ""pls""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
hey check my booking status for tiger 3,check_booking_status,"[""hey"", ""check"", ""my"", ""booking"", ""status"", ""for"", ""tiger"", ""3""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME""]"
um book 1 balcony tickets for spider man no way home at wave cinemas,book_ticket,"[""um"", ""book"", ""1"", ""balcony"", ""tickets"", ""for"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
um cancel my leo booking at inox city center,cancel_ticket,"[""um"", ""cancel"", ""my"", ""leo"", ""booking"", ""at"", ""inox"", ""city"", ""center""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
hey look up my movie booking in delhi,check_booking_status,"[""hey"", ""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""delhi""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
choose vip seat b7,select_seat,"[""choose"", ""vip"", ""seat"", ""b7""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
good morning,greeting,"[""good"", ""morning""]","[""O"", ""O""]"
pick regular seats near c3,select_seat,"[""pick"", ""regular"", ""seats"", ""near"", ""c3""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
yo hey choose blcony seat a10,select_seat,"[""yo"", ""hey"", ""choose"", ""blcony"", ""seat"", ""a10""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
yo when is barbie showing at inox city center,check_showtime,"[""yo"", ""when"", ""is"", ""barbie"", ""showing"", ""at"", ""inox"", ""city"", ""center""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
pls show me showtimes for interstelar on tomorrow,check_showtime,"[""pls"", ""show"", ""me"", ""showtimes"", ""for"", ""interstelar"", ""on"", ""tomorrow""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE""]"
hey yo is there a 4dx show of dune part two today,check_showtime,"[""hey"", ""yo"", ""is"", ""there"", ""a"", ""4dx"", ""show"", ""of"", ""dune"", ""part"", ""two"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
yo thanks bye,goodbye,"[""yo"", ""thanks"", ""bye""]","[""O"", ""O""]"
pls when is leo showing at miraj cinemas,check_showtime,"[""pls"", ""when"", ""is"", ""leo"", ""showing"", ""at"", ""miraj"", ""cinemas""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
yo tell me the timings for leo at wave cinemas,check_showtime,"[""yo"", ""tell"", ""me"", ""the"", ""timings"", ""for"", ""leo"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
um what movies like interstellar are running in ahmedabad,search_movie,"[""um"", ""what"", ""movies"", ""like"", ""interstellar"", ""are"", ""running"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
show me oppenheimer sessions in jaipur,search_movie,"[""show"", ""me"", ""oppenheimer"", ""sessions"", ""in"", ""jaipur""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
yo reserve 5 vip seats in ahmedabad,book_ticket,"[""yo"", ""reserve"", ""5"", ""vip"", ""seats"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
please book me 5 for spider man no way home at 11 : 30 am,book_ticket,"[""please"", ""book"", ""me"", ""5"", ""for"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""at"", ""11"", "":"", ""30"", ""am""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-TIME"", ""I-TIME"", ""I-TIME"", ""I-TIME""]"
good morning,greeting,"[""good"", ""morning""]","[""O"", ""O""]"
is there a dolby show of jawan today,check_showtime,"[""is"", ""there"", ""a"", ""dolby"", ""show"", ""of"", ""jawan"", ""today""]","[""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
select seat d8,select_seat,"[""select"", ""seat"", ""d8""]","[""O"", ""O"", ""B-SEAT_NUMBER""]"
reserve 4 regular seats in pune,book_ticket,"[""reserve"", ""4"", ""regular"", ""seats"", ""in"", ""pune""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
yo when is oppenheimfr showing at wave cinemas,check_showtime,"[""yo"", ""when"", ""is"", ""oppenheimfr"", ""showing"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
hey i need 3 tickets for dune part two this 25 may,book_ticket,"[""hey"", ""i"", ""need"", ""3"", ""tickets"", ""for"", ""dune"", ""part"", ""two"", ""this"", ""25"", ""may""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
yo,greeting,"[""yo""]","[""O""]"
yo check my booking status for jawan,check_booking_status,"[""yo"", ""check"", ""my"", ""booking"", ""status"", ""for"", ""jawan""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME""]"
show me aatar the way of water sessions in delhi,search_movie,"[""show"", ""me"", ""aatar"", ""the"", ""way"", ""of"", ""water"", ""sessions"", ""in"", ""delhi""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
yo find spider man no way home in hyderabad,search_movie,"[""yo"", ""find"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""in"", ""hyderabad""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-CITY""]"
what movies like leo are running in bengaluru,search_movie,"[""what"", ""movies"", ""like"", ""leo"", ""are"", ""running"", ""in"", ""bengaluru""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
what time does barbie start in ahmedabad,check_showtime,"[""what"", ""time"", ""does"", ""barbie"", ""start"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
i want to cancel tix for barbie toay,cancel_ticket,"[""i"", ""want"", ""to"", ""cancel"", ""tix"", ""for"", ""barbie"", ""toay""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
what time does interstellar start in chennai,check_showtime,"[""what"", ""time"", ""does"", ""interstellar"", ""start"", ""in"", ""chennai""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
please refund my booking for 25 may,cancel_ticket,"[""please"", ""refund"", ""my"", ""booking"", ""for"", ""25"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
see you later?,goodbye,"[""see"", ""you"", ""later"", ""?""]","[""O"", ""O"", ""O""]"
yo pick relular seats near e15,select_seat,"[""yo"", ""pick"", ""relular"", ""seats"", ""near"", ""e15""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
reserve 1 balcony seats in kolkata,book_ticket,"[""reserve"", ""1"", ""balcony"", ""seats"", ""in"", ""kolkata""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
