sentence,intent,tokens,BIO_tags
yo any french movies in jaipur,search_movie,"[""yo"", ""any"", ""french"", ""movies"", ""in"", ""jaipur""]","[""O"", ""O"", ""B-LANGUAGE"", ""O"", ""O"", ""B-CITY""]"
yo is there a 3d show of top gun maverick today,check_showtime,"[""yo"", ""is"", ""there"", ""a"", ""3d"", ""show"", ""of"", ""top"", ""gun"", ""maverick"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
book 6 recliner tickets for avatar the way of water at carnival city mall,book_ticket,"[""book"", ""6"", ""recliner"", ""tickets"", ""for"", ""avatar"", ""the"", ""way"", ""of"", ""water"", ""at"", ""carnival"", ""city"", ""mall""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
book 5 reular tix for spider man no way home at cinepolis central thx,book_ticket,"[""book"", ""5"", ""reular"", ""tix"", ""for"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""at"", ""cinepolis"", ""central"", ""thx""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
yo i want c4 for the show,select_seat,"[""yo"", ""i"", ""want"", ""c4"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
i want to cancel tickets for kalki 2898 ad today,cancel_ticket,"[""i"", ""want"", ""to"", ""cancel"", ""tickets"", ""for"", ""kalki"", ""2898"", ""ad"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
can u buk spider man no way home for 2 people,book_ticket,"[""can"", ""u"", ""buk"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""for"", ""2"", ""people""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
pls when is oppenheimer showing at wave cinemas,check_showtime,"[""pls"", ""when"", ""is"", ""oppenheimer"", ""showing"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
helo,greeting,"[""helo""]","[""O""]"
yo book 6 regular tix for interstellar at carnival city mall,book_ticket,"[""yo"", ""book"", ""6"", ""regular"", ""tix"", ""for"", ""interstellar"", ""at"", ""carnival"", ""city"", ""mall""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
yo where is my ticket for tomorrow,check_booking_status,"[""yo"", ""where"", ""is"", ""my"", ""ticket"", ""for"", ""tomorrow""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE""]"
thanks bye,goodbye,"[""thanks"", ""bye""]","[""O"", ""O""]"
um is there a 4dx show of spider man no way home today,check_showtime,"[""um"", ""is"", ""there"", ""a"", ""4dx"", ""show"", ""of"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
that's all thx?,goodbye,"[""that's"", ""all"", ""thx"", ""?""]","[""O"", ""O"", ""O""]"
please refund my booking for next friday,cancel_ticket,"[""please"", ""refund"", ""my"", ""booking"", ""for"", ""next"", ""friday""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
pls i need 4 tickets for leo this tnight,book_ticket,"[""pls"", ""i"", ""need"", ""4"", ""tickets"", ""for"", ""leo"", ""this"", ""tnight""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE""]"
yo cancel my barbie booking at cinepolis central,cancel_ticket,"[""yo"", ""cancel"", ""my"", ""barbie"", ""booking"", ""at"", ""cinepolis"", ""central""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
where is my ticket for tonight,check_booking_status,"[""where"", ""is"", ""my"", ""ticket"", ""for"", ""tonight""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE""]"
can u book tiger 3 for 1 people,book_ticket,"[""can"", ""u"", ""book"", ""tiger"", ""3"", ""for"", ""1"", ""people""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
hey there,greeting,"[""hey"", ""there""]","[""O"", ""O""]"
pls hey there?,greeting,"[""pls"", ""hey"", ""there"", ""?""]","[""O"", ""O""]"
hey book 2 balcony tickets for interstellar at wave cinemas,book_ticket,"[""hey"", ""book"", ""2"", ""balcony"", ""tickets"", ""for"", ""interstellar"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
cacel my dune part two booking at pvr nexus mall,cancel_ticket,"[""cacel"", ""my"", ""dune"", ""part"", ""two"", ""booking"", ""at"", ""pvr"", ""nexus"", ""mall""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
look up my movie booking in mumbai,check_booking_status,"[""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""mumbai""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
when is top gun maverick showing at carnival city mall,check_showtime,"[""when"", ""is"", ""top"", ""gun"", ""maverick"", ""showing"", ""at"", ""carnival"", ""city"", ""mall""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
pls what movies like intertellar are running in ahmedabad now,search_movie,"[""pls"", ""what"", ""movies"", ""like"", ""intertellar"", ""are"", ""running"", ""in"", ""ahmedabad"", ""now""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
hey drop my reservation at miraj cinemas,cancel_ticket,"[""hey"", ""drop"", ""my"", ""reservation"", ""at"", ""miraj"", ""cinemas""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
hey reserve 5 recliner seats in kochi,book_ticket,"[""hey"", ""reserve"", ""5"", ""recliner"", ""seats"", ""in"", ""kochi""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
reserve 5 balcony seats in bengaluru,book_ticket,"[""reserve"", ""5"", ""balcony"", ""seats"", ""in"", ""bengaluru""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
give me recliner around c3,select_seat,"[""give"", ""me"", ""recliner"", ""around"", ""c3""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
quick hey is leo playing near jaipur,search_movie,"[""quick"", ""hey"", ""is"", ""leo"", ""playing"", ""near"", ""jaipur""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
good morqing,greeting,"[""good"", ""morqing""]","[""O"", ""O""]"
um show me spider man no way home sessions in jaipur,search_movie,"[""um"", ""show"", ""me"", ""spider"", ""man"", ""no"", ""way"", ""home"", ""sessions"", ""in"", ""jaipur""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
yo find the batman in mumbai,search_movie,"[""yo"", ""find"", ""the"", ""batman"", ""in"", ""mumbai""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-CITY""]"
show my booking details at raj mandir,check_booking_status,"[""show"", ""my"", ""booking"", ""details"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
plz book me 4 for barbie at 5 pm,book_ticket,"[""plz"", ""book"", ""me"", ""4"", ""for"", ""barbie"", ""at"", ""5"", ""pm""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-TIME"", ""I-TIME""]"
yo give me vip around c4 thx,select_seat,"[""yo"", ""give"", ""me"", ""vip"", ""around"", ""c4"", ""thx""]","[""O"", ""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
is there a 4dx show of leo today,check_showtime,"[""is"", ""there"", ""a"", ""4dx"", ""show"", ""of"", ""leo"", ""today""]","[""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
hey there,greeting,"[""hey"", ""there""]","[""O"", ""O""]"
see you later,goodbye,"[""see"", ""you"", ""later""]","[""O"", ""O"", ""O""]"
um reserve 1 premium seats in ahmedabad,book_ticket,"[""um"", ""reserve"", ""1"", ""premium"", ""seats"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
pick regular seats near c3,select_seat,"[""pick"", ""regular"", ""seats"", ""near"", ""c3""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
any tamil movies in kolkata,search_movie,"[""any"", ""tamil"", ""movies"", ""in"", ""kolkata""]","[""O"", ""B-LANGUAGE"", ""O"", ""O"", ""B-CITY""]"
pls book 3 balcony tickets for the batman at wave cinemas,book_ticket,"[""pls"", ""book"", ""3"", ""balcony"", ""tickets"", ""for"", ""the"", ""batman"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
pls i want a10 for the show,select_seat,"[""pls"", ""i"", ""want"", ""a10"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
yo show my booking details at raj mandir,check_booking_status,"[""yo"", ""show"", ""my"", ""booking"", ""details"", ""at"", ""raj"", ""mandir""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
is my reservation confirmed for 11 : 30 am,check_booking_status,"[""is"", ""my"", ""reservation"", ""confirmed"", ""for"", ""11"", "":"", ""30"", ""am""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-TIME"", ""I-TIME"", ""I-TIME"", ""I-TIME""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
good morning,greeting,"[""good"", ""morning""]","[""O"", ""O""]"
hey check my booking status for dune part two,check_booking_status,"[""hey"", ""check"", ""my"", ""booking"", ""status"", ""for"", ""dune"", ""part"", ""two""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME""]"
yo what movies like the baman are running in chenni,search_movie,"[""yo"", ""what"", ""movies"", ""like"", ""the"", ""baman"", ""are"", ""running"", ""in"", ""chenni""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
show me showtimes for barbie on tomorrow,check_showtime,"[""show"", ""me"", ""showtimes"", ""for"", ""barbie"", ""on"", ""tomorrow""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE""]"
i want b7 for the show,select_seat,"[""i"", ""want"", ""b7"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
hey yo is there a 4dx show of dune part two today,check_showtime,"[""hey"", ""yo"", ""is"", ""there"", ""a"", ""4dx"", ""show"", ""of"", ""dune"", ""part"", ""two"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
is tiger 3 playing near chennai,search_movie,"[""is"", ""tiger"", ""3"", ""playing"", ""near"", ""chennai""]","[""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
where is my tkt for 26 may,check_booking_status,"[""where"", ""is"", ""my"", ""tkt"", ""for"", ""26"", ""may""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
goodbye,goodbye,"[""goodbye""]","[""O""]"
look up my movie booking in mumbai,check_booking_status,"[""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""mumbai""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
pls i want e15 for the show,select_seat,"[""pls"", ""i"", ""want"", ""e15"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
is there a dolby show of jawan today,check_showtime,"[""is"", ""there"", ""a"", ""dolby"", ""show"", ""of"", ""jawan"", ""today""]","[""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
yo i want a11 for the show,select_seat,"[""yo"", ""i"", ""want"", ""a11"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
cancel my interstellar booking at miraj cinemas,cancel_ticket,"[""cancel"", ""my"", ""interstellar"", ""booking"", ""at"", ""miraj"", ""cinemas""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
what time does barbie start in ahmedabad,check_showtime,"[""what"", ""time"", ""does"", ""barbie"", ""start"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
yo choose balcony seat c4,select_seat,"[""yo"", ""choose"", ""balcony"", ""seat"", ""c4""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
that's all thanks,goodbye,"[""that's"", ""all"", ""thanks""]","[""O"", ""O"", ""O""]"
yo i want a11 for the show,select_seat,"[""yo"", ""i"", ""want"", ""a11"", ""for"", ""the"", ""show""]","[""O"", ""O"", ""O"", ""B-SEAT_NUMBER"", ""O"", ""O"", ""O""]"
plxase refund my bookig for next friday now,cancel_ticket,"[""plxase"", ""refund"", ""my"", ""bookig"", ""for"", ""next"", ""friday"", ""now""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-DATE"", ""I-DATE""]"
cancel the 3 seats in chennai,cancel_ticket,"[""cancel"", ""the"", ""3"", ""seats"", ""in"", ""chennai""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-CITY""]"
pick premium seats near a11,select_seat,"[""pick"", ""premium"", ""seats"", ""near"", ""a11""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-SEAT_NUMBER""]"
"hi, need help",greeting,"[""hi"", "","", ""need"", ""help""]","[""O"", ""O"", ""O"", ""O""]"
what movies like avatar the way of water are running in delhi,search_movie,"[""what"", ""movies"", ""like"", ""avatar"", ""the"", ""way"", ""of"", ""water"", ""are"", ""running"", ""in"", ""delhi""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
cancel the 4 seats in kolkata,cancel_ticket,"[""cancel"", ""the"", ""4"", ""seats"", ""in"", ""kolkata""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-CITY""]"
pls can u buk leo for 1 pople,book_ticket,"[""pls"", ""can"", ""u"", ""buk"", ""leo"", ""for"", ""1"", ""pople""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
um cancel the 3 seats in bengaluru,cancel_ticket,"[""um"", ""cancel"", ""the"", ""3"", ""seats"", ""in"", ""bengaluru""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-CITY""]"
show me interstellar sessions in kolkta,search_movie,"[""show"", ""me"", ""interstellar"", ""sessions"", ""in"", ""kolkta""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
that's all thanks,goodbye,"[""that's"", ""all"", ""thanks""]","[""O"", ""O"", ""O""]"
quick yo,greeting,"[""quick"", ""yo""]","[""O""]"
bye and thanks,goodbye,"[""bye"", ""and"", ""thanks""]","[""O"", ""O"", ""O""]"
that's all thanks,goodbye,"[""that's"", ""all"", ""thanks""]","[""O"", ""O"", ""O""]"
um is there a imax show of dune part two today,check_showtime,"[""um"", ""is"", ""there"", ""a"", ""imax"", ""show"", ""of"", ""dune"", ""part"", ""two"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
um drop my reservation at wave cinemas,cancel_ticket,"[""um"", ""drop"", ""my"", ""reservation"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
reserve 3 premium seats in bengaluru,book_ticket,"[""reserve"", ""3"", ""premium"", ""seats"", ""in"", ""bengaluru""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
pls i need 6 tickets for jawan this tomorrow,book_ticket,"[""pls"", ""i"", ""need"", ""6"", ""tickets"", ""for"", ""jawan"", ""this"", ""tomorrow""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE""]"
pls i need 2 tickets for jaan this this weekend,book_ticket,"[""pls"", ""i"", ""need"", ""2"", ""tickets"", ""for"", ""jaan"", ""this"", ""this"", ""weekend""]","[""O"", ""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-DATE"", ""I-DATE""]"
pls book 6 premium tckets for jaan at inox city ceter,book_ticket,"[""pls"", ""book"", ""6"", ""premium"", ""tckets"", ""for"", ""jaan"", ""at"", ""inox"", ""city"", ""ceter""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME"", ""I-THEATER_NAME""]"
drop my reservation at wave cinemas,cancel_ticket,"[""drop"", ""my"", ""reservation"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
any hindi movies in mumbai,search_movie,"[""any"", ""hindi"", ""movies"", ""in"", ""mumbai""]","[""O"", ""B-LANGUAGE"", ""O"", ""O"", ""B-CITY""]"
yo what movies like the batman are running in kolkasa please,search_movie,"[""yo"", ""what"", ""movies"", ""like"", ""the"", ""batman"", ""are"", ""running"", ""in"", ""kolkasa"", ""please""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
hey reserve 4 regular seats in chennai,book_ticket,"[""hey"", ""reserve"", ""4"", ""regular"", ""seats"", ""in"", ""chennai""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
can u book interstellar for 4 pzople,book_ticket,"[""can"", ""u"", ""book"", ""interstellar"", ""for"", ""4"", ""pzople""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
choose premium seat d8,select_seat,"[""choose"", ""premium"", ""seat"", ""d8""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
what movies like tiger 3 are rnning in chennai,search_movie,"[""what"", ""movies"", ""like"", ""tiger"", ""3"", ""are"", ""rnning"", ""in"", ""chennai""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
show my bookig detais at luxe imax,check_booking_status,"[""show"", ""my"", ""bookig"", ""detais"", ""at"", ""luxe"", ""imax""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
what movies like top gun maverick are running in ahmedabad,search_movie,"[""what"", ""movies"", ""like"", ""top"", ""gun"", ""maverick"", ""are"", ""running"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""O"", ""O"", ""B-CITY""]"
that's all tranks,goodbye,"[""that's"", ""all"", ""tranks""]","[""O"", ""O"", ""O""]"
yo check my booking status for dune part two,check_booking_status,"[""yo"", ""check"", ""my"", ""booking"", ""status"", ""for"", ""dune"", ""part"", ""two""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME""]"
hello,greeting,"[""hello""]","[""O""]"
see you later,goodbye,"[""see"", ""you"", ""later""]","[""O"", ""O"", ""O""]"
look up my movie booking in hyderabad,check_booking_status,"[""look"", ""up"", ""my"", ""movie"", ""booking"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-CITY""]"
yo,greeting,"[""yo""]","[""O""]"
yo choose vip seat a11,select_seat,"[""yo"", ""choose"", ""vip"", ""seat"", ""a11""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
hey reserve 4 recliner seats in jaipur,book_ticket,"[""hey"", ""reserve"", ""4"", ""recliner"", ""seats"", ""in"", ""jaipur""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-CITY""]"
pls show my booking details at wave cinemas,check_booking_status,"[""pls"", ""show"", ""my"", ""booking"", ""details"", ""at"", ""wave"", ""cinemas""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
um show me oppenheimer sessions in hyderabad,search_movie,"[""um"", ""show"", ""me"", ""oppenheimer"", ""sessions"", ""in"", ""hyderabad""]","[""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-CITY""]"
that's all thanks,goodbye,"[""that's"", ""all"", ""thanks""]","[""O"", ""O"", ""O""]"
select seat c3,select_seat,"[""select"", ""seat"", ""c3""]","[""O"", ""O"", ""B-SEAT_NUMBER""]"
helbo,greeting,"[""helbo""]","[""O""]"
pls can u book jawan for 6 pople,book_ticket,"[""pls"", ""can"", ""u"", ""book"", ""jawan"", ""for"", ""6"", ""pople""]","[""O"", ""O"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""B-NUM_TICKETS"", ""O""]"
buk 1 recliner tickets for kalki 2898 ad at wave ciwemas,book_ticket,"[""buk"", ""1"", ""recliner"", ""tickets"", ""for"", ""kalki"", ""2898"", ""ad"", ""at"", ""wave"", ""ciwemas""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
book 6 premium tix for the batman at cinepolis centrgl,book_ticket,"[""book"", ""6"", ""premium"", ""tix"", ""for"", ""the"", ""batman"", ""at"", ""cinepolis"", ""centrgl""]","[""O"", ""B-NUM_TICKETS"", ""B-SEAT_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
give me balcony around d8,select_seat,"[""give"", ""me"", ""balcony"", ""around"", ""d8""]","[""O"", ""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
choose balcony seat c3,select_seat,"[""choose"", ""balcony"", ""seat"", ""c3""]","[""O"", ""B-SEAT_TYPE"", ""O"", ""B-SEAT_NUMBER""]"
hey is there a 3d show of kalki 2898 ad today,check_showtime,"[""hey"", ""is"", ""there"", ""a"", ""3d"", ""show"", ""of"", ""kalki"", ""2898"", ""ad"", ""today""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""I-MOVIE_NAME"", ""I-MOVIE_NAME"", ""O""]"
thanks bye,goodbye,"[""thanks"", ""bye""]","[""O"", ""O""]"
when is jawan showing at luxe imax,check_showtime,"[""when"", ""is"", ""jawan"", ""showing"", ""at"", ""luxe"", ""imax""]","[""O"", ""O"", ""B-MOVIE_NAME"", ""O"", ""O"", ""B-THEATER_NAME"", ""I-THEATER_NAME""]"
quick um is there a dolny show of interstellar today?,check_showtime,"[""quick"", ""um"", ""is"", ""there"", ""a"", ""dolny"", ""show"", ""of"", ""interstellar"", ""today"", ""?""]","[""O"", ""O"", ""O"", ""O"", ""B-SCREEN_TYPE"", ""O"", ""O"", ""B-MOVIE_NAME"", ""O""]"
cancel the 4 seats in ahmedabad,cancel_ticket,"[""cancel"", ""the"", ""4"", ""seats"", ""in"", ""ahmedabad""]","[""O"", ""O"", ""B-NUM_TICKETS"", ""O"", ""O"", ""B-CITY""]"
